player,team,attempts,expected_box_entries,actual_box_entries,added_value
M. Godts,AFC Ajax,157,77.38789793105013,85,7.612102068949866
A. Hadj Moussa,Feyenoord Rotterdam,162,75.65112338036907,69,-6.6511233803690715
J. Veerman,PSV Eindhoven,123,62.190574956855144,72,9.809425043144856
M. van Bergen,Sparta Rotterdam,184,58.88524772639905,47,-11.88524772639905
D. Rots,FC Twente,131,58.23698523796794,60,1.763014762032057
Y. Taha,FC Groningen,157,56.808115243724394,55,-1.8081152437243944
K. Sano,Nijmegen Eendracht Combinatie,109,52.22915827368205,46,-6.229158273682053
T. Chery,Nijmegen Eendracht Combinatie,118,50.89510017253383,46,-4.89510017253383
J. van Overeem,SC Heerenveen,128,49.84459363879473,54,4.155406361205273
S. Mijnans,Alkmaar Zaanstreek,90,49.31148202963068,50,0.6885179703693183
S. Ouaissa,Nijmegen Eendracht Combinatie,120,48.50044719881134,53,4.499552801188663
I. Perišić,PSV Eindhoven,143,47.925199275294496,50,2.0748007247055043
S. Ørjasæter,FC Twente,92,47.783748583078356,44,-3.7837485830783564
B. Önal,Nijmegen Eendracht Combinatie,110,47.228340684093475,47,-0.22834068409347452
L. Valente,Feyenoord Rotterdam,99,45.04071232448422,56,10.959287675515782
I. Saibari,PSV Eindhoven,75,44.50638403443505,45,0.493615965564949
J. Hardeveld,SC Telstar,120,43.677078751300186,53,9.322921248699814
M. Rivera,SC Heerenveen,96,43.58385463187881,41,-2.5838546318788076
I. Jensen,Alkmaar Zaanstreek,88,43.075616144381684,52,8.924383855618316
A. Hrustić,Heracles Almelo,100,42.98700970309265,30,-12.987009703092653
J. Breum,Go Ahead Eagles,77,42.03053105516336,43,0.9694689448366418
S. El Karouani,FC Utrecht,137,41.6441464683052,49,7.355853531694798
O. Braude,SC Heerenveen,110,41.47936435411933,49,7.520635645880667
J. Trenskow,SC Heerenveen,79,40.23661889003322,46,5.7633811099667795
B. Kemper,NAC Breda,130,40.01299031420991,38,-2.012990314209908
M. Rots,FC Twente,91,39.59509931779468,42,2.404900682205323
K. Hlynsson,FC Twente,71,38.078661573859684,42,3.9213384261403164
S. Dest,PSV Eindhoven,80,37.70484032259031,33,-4.704840322590307
B. van Rooij,FC Twente,108,37.07333604376231,38,0.9266639562376895
V. Edvardsen,Go Ahead Eagles,88,36.073378513210436,27,-9.073378513210436
R. Daal,Alkmaar Zaanstreek,58,35.08839984394228,37,1.9116001560577232
K. Smit,Alkmaar Zaanstreek,64,34.35815987360881,38,3.6418401263911875
M. Ihattaren,Fortuna Sittard,77,33.883217663881695,37,3.1167823361183054
A. Gaaei,AFC Ajax,105,33.76709629163052,33,-0.7670962916305228
R. Meerveld,SC Heerenveen,65,33.75709593387423,36,2.2429040661257673
J. Ritmeester van de Kamp,SC Telstar,71,33.67478476252421,35,1.3252152374757884
D. Man,PSV Eindhoven,61,33.39883776228293,44,10.60116223771707
W. Ould-Chikh,Heracles Almelo,88,33.23293195923553,33,-0.232931959235529
Y. Cathline,FC Utrecht,78,33.09354866908456,44,10.906451330915438
S. Berghuis,AFC Ajax,75,32.212856686754726,34,1.7871433132452736
M. Peersman,FC Groningen,82,32.007024742341265,33,0.9929752576587347
M. Suray,Go Ahead Eagles,79,31.095957733685893,29,-2.0959577336858928
V. Zagaritis,SC Heerenveen,92,30.883456584279784,35,4.116543415720216
J. Bos,Feyenoord Rotterdam,76,30.809206538198353,33,2.190793461801647
G. Til,PSV Eindhoven,55,30.130193009402287,30,-0.13019300940228717
D. Sanches Fernandes,SBV Excelsior,73,29.450893542467405,32,2.549106457532595
J. Schreuders,FC Groningen,64,29.25036083062185,30,0.749639169378149
T. Noslin,SC Telstar,88,29.22979194447941,25,-4.229791944479409
G. de Regt,SBV Excelsior,96,29.10726507191982,29,-0.10726507191981938
M. Linday,SC Heerenveen,50,28.715156272514715,26,-2.715156272514715
T. van Bergen,FC Groningen,47,28.70629445866293,27,-1.7062944586629314
P. Brouwer,SC Telstar,65,28.056408627367073,23,-5.056408627367073
G. Zechiël,FC Utrecht,66,27.980224267322235,32,4.019775732677765
M. Rente,FC Groningen,77,27.923414957892877,28,0.0765850421071228
T. Oosting,PEC Zwolle,65,27.646754593304987,20,-7.646754593304987
T. van den Belt,FC Twente,56,27.460319184610388,23,-4.460319184610388
D. Limnios,Fortuna Sittard,71,27.389802369147375,34,6.610197630852625
Ivo Pinto,Fortuna Sittard,74,27.297472578203966,28,0.7025274217960344
I. Yegoian,SBV Excelsior,54,26.967510347910533,28,1.0324896520894669
O. Gloukh,AFC Ajax,51,26.944608348286682,27,0.05539165171331817
M. Nassoh,NAC Breda,66,25.721694774720635,21,-4.7216947747206355
E. Bajraktarević,PSV Eindhoven,63,25.702233021743414,32,6.297766978256586
D. van der Werff,FC Groningen,65,25.497144931234146,31,5.502855068765854
K. Sowah,NAC Breda,67,25.291136434784033,21,-4.291136434784033
Q. Timber,Feyenoord Rotterdam,41,24.755132334131062,29,4.244867665868938
I. Bronkhorst,SBV Excelsior,85,24.67916313959091,26,1.3208368604090914
Mauro Júnior,PSV Eindhoven,53,24.230998034743447,30,5.769001965256553
E. Dasa,Nijmegen Eendracht Combinatie,67,24.088572653758135,26,1.9114273462418652
K. Taylor,AFC Ajax,42,23.861905652419043,25,1.1380943475809566
P. Koopmeiners,Alkmaar Zaanstreek,54,23.77115707146513,20,-3.7711570714651295
Weslley Patati,Alkmaar Zaanstreek,49,23.71289845339229,22,-1.7128984533922917
D. Nejašmić,Nijmegen Eendracht Combinatie,55,23.556553550328935,25,1.4434464496710646
Y. Namli,PEC Zwolle,51,23.130491838987236,21,-2.1304918389872363
M. Pjaca,FC Twente,46,23.112334151614522,27,3.8876658483854776
