match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833157185,28,1,2,38,20vymiy7bo8wkyxai3ew494fz,ahwtdhrerarmljk9bh0tcpk6i,S. Steijn,16,74.3,56.2,1,0,1,0,0,0.04280821979045868,0.0714285746216774,0.034674063324928284,0.2594696879386902,0.051948051899671555,0.35574111342430115,0.022477664053440094,0.5779420733451843,0.043839141726493835,0.09206571951508521
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833160473,67,1,7,10,59t7flioj4w4mpwnrwbm0m8ck,8nnxi9lw3hso096kk81h0azh0,J. Talvitie,15,79.4,45.0,0,0,0,1,0,0.05756358802318573,0.00036088054184801877,0.046983759850263596,0.27726954221725464,0.02985074557363987,0.25518083572387695,0.03054986707866192,0.6426410675048828,0.07162819802761078,0.08240570324123837
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833161037,79,1,8,4,59t7flioj4w4mpwnrwbm0m8ck,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,15,87.0,66.9,0,0,0,1,0,0.04280821979045868,0.08799999952316284,0.046983759850263596,0.28021979331970215,0.10436432808637619,0.2699039578437805,0.012339182198047638,0.6661417484283447,0.05161511152982712,0.11247522011399269
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833165433,173,1,16,45,59t7flioj4w4mpwnrwbm0m8ck,dc4n5ylytswddlvd82snkb90q,S. van Hooijdonk,13,74.0,50.5,0,0,0,0,0,0.035307515412569046,0.0,0.042812079191207886,0.2594696879386902,0.2641509473323822,0.42677927017211914,0.008684606291353703,0.5385428667068481,0.025993233546614647,0.12034804597496987
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833167973,170,1,21,17,20vymiy7bo8wkyxai3ew494fz,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,15,88.3,44.8,0,0,0,1,0,0.19158878922462463,0.0014577260008081794,0.042812079191207886,0.36234569549560547,0.1355932205915451,0.1637374460697174,0.02002658136188984,0.6414384841918945,0.17479753494262695,0.14675950210075825
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833168003,172,1,21,20,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,15,90.3,39.3,0,0,0,1,0,0.13627992570400238,0.4728682041168213,0.042812079191207886,0.36234569549560547,0.5058823823928833,0.17846976220607758,0.016405491158366203,0.6423452496528625,0.16277951002120972,0.3040376573801041
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833168039,173,1,21,23,20vymiy7bo8wkyxai3ew494fz,8f3bhiy6r5eei1n25exhbwr8p,J. Lotomba,15,80.2,50.1,0,0,0,1,0,0.05756358802318573,0.3938356041908264,0.042812079191207886,0.27726954221725464,0.35606059432029724,0.3550170361995697,0.006142603233456612,0.5775557160377502,0.061284687370061874,0.22550828158855438
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833172925,248,1,28,37,20vymiy7bo8wkyxai3ew494fz,29fr98or3mqippn84z3p9ihhw,L. Valente,15,87.8,61.1,0,0,0,1,0,0.11538461595773697,0.029411764815449715,0.04532967135310173,0.31630972027778625,0.5542168617248535,0.21932092308998108,0.016504431143403053,0.6481766104698181,0.11599801480770111,0.21213052682578565
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833173921,256,1,29,47,20vymiy7bo8wkyxai3ew494fz,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,13,89.8,51.1,0,0,0,0,0,0.035307515412569046,0.0,0.02995169162750244,0.21111111342906952,0.4615384638309479,0.5297223925590515,0.015667593106627464,0.4193122982978821,0.035297755151987076,0.1475817568600178
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833176791,297,1,33,25,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,13,74.6,39.1,0,0,0,0,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.27339643239974976,0.634782612323761,0.30800387263298035,0.007571046240627766,0.658937931060791,0.025487130507826805,0.19507499049068427
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833180607,320,1,38,11,20vymiy7bo8wkyxai3ew494fz,5qvkwsnygz3zekwsdd1r994wk,G. Diarra,15,79.6,57.0,0,0,0,1,0,0.05756358802318573,0.00036088054184801877,0.042812079191207886,0.28021979331970215,0.03097345121204853,0.32255128026008606,0.01951146312057972,0.6070395112037659,0.05089776962995529,0.08238595845759847
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833182869,362,1,41,4,20vymiy7bo8wkyxai3ew494fz,29fr98or3mqippn84z3p9ihhw,L. Valente,13,94.0,55.6,0,0,0,0,0,0.3711583912372589,0.00036088054184801877,0.33023256063461304,0.8471337556838989,1.0,0.14812184870243073,0.03712736815214157,0.3959336280822754,0.4188171327114105,0.5097771176195238
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833184461,382,1,43,16,20vymiy7bo8wkyxai3ew494fz,ahwtdhrerarmljk9bh0tcpk6i,S. Steijn,15,92.4,59.3,0,0,1,0,0,0.3711583912372589,0.4728682041168213,0.33023256063461304,0.8979591727256775,0.4615384638309479,0.12842974066734314,0.039510395377874374,0.41538161039352417,0.4166782796382904,0.5067513585090637
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833201125,448,2,47,38,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,15,69.1,53.0,0,0,1,0,0,0.024022947996854782,0.14536741375923157,0.042812079191207886,0.23201175034046173,0.10436432808637619,0.5068308711051941,0.00825533177703619,0.4655543565750122,0.01935945823788643,0.10971570387482643
2025-08-09_Feyenoord Rotterdam - NAC Breda.json,2833201343,422,2,47,59,59t7flioj4w4mpwnrwbm0m8ck,4f8xb5sbyksacxmifi375h7qi,K. Sowah,13,75.3,58.3,0,0,0,0,0,0.03790983557701111,0.0,0.042812079191207886,0.27339643239974976,0.2738095223903656,0.37089070677757263,0.009093434549868107,0.5805845260620117,0.03943132609128952,0.12558557391166686
