match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846113661,10,1,0,46,dqk062lu0vm8epvytbm6r4mmf,c6i4usq34m3389rtbqptahrai,R. Meissen,15,84.7,58.5,0,0,1,0,0,0.04280821979045868,0.24770642817020416,0.042812079191207886,0.16802167892456055,0.302325576543808,0.36418014764785767,0.010409846901893616,0.5966174006462097,0.028792591765522957,0.16073479652404785
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846115041,72,1,5,59,dqk062lu0vm8epvytbm6r4mmf,aeqj9ogm0dntus0wl352w9z6y,C. Widell,13,93.4,43.8,0,0,0,0,0,0.13627992570400238,0.0,0.046983759850263596,0.27726954221725464,0.7222222089767456,0.5213115215301514,0.01752619259059429,0.3586989939212799,0.1024632528424263,0.23655108734965324
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846115409,72,1,7,37,89w5c6pw7vn0dxypi61tt0g4k,f57vs3qmmob743hdk2dxf56cq,S. Sambo,15,75.6,30.9,0,0,1,0,0,0.024022947996854782,0.011029412038624287,0.046983759850263596,0.27726954221725464,0.0,0.39183393120765686,0.0073409052565693855,0.5714486837387085,0.029376504942774773,0.07186113242059947
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846116415,137,1,11,41,dqk062lu0vm8epvytbm6r4mmf,5nhideyjwp2347ryi1n9wfq50,D. Sanches Fernandes,15,72.9,39.7,0,0,1,0,0,0.024022947996854782,0.04433497413992882,0.046983759850263596,0.27339643239974976,0.03097345121204853,0.42726436257362366,0.01682192087173462,0.539419949054718,0.0164937861263752,0.0839423131197691
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846117359,143,1,15,51,89w5c6pw7vn0dxypi61tt0g4k,7ty1wdxxnusgkl34k5raipbl5,M. van Bergen,13,87.8,29.3,0,0,0,0,0,0.024022947996854782,0.00036088054184801877,0.046983759850263596,0.29398664832115173,0.2738095223903656,0.33017638325691223,0.04514941945672035,0.5954300761222839,0.029244132339954376,0.12783275182009673
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846117765,170,1,17,15,dqk062lu0vm8epvytbm6r4mmf,aeqj9ogm0dntus0wl352w9z6y,C. Widell,15,92.1,34.4,0,0,0,1,0,0.035307515412569046,0.011029412038624287,0.02995169162750244,0.27339643239974976,0.2564906179904938,0.509030282497406,0.02158728986978531,0.4417049288749695,0.0276775062084198,0.12123513389378786
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846118123,167,1,18,8,89w5c6pw7vn0dxypi61tt0g4k,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,15,88.4,55.6,0,0,1,0,0,0.13627992570400238,0.4728682041168213,0.046983759850263596,0.31630972027778625,0.5058823823928833,0.4360918700695038,0.015434397384524345,0.4352482557296753,0.11322550475597382,0.29566479846835136
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846118457,177,1,18,57,89w5c6pw7vn0dxypi61tt0g4k,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,15,78.2,53.4,0,0,1,0,0,0.05756358802318573,0.14536741375923157,0.034674063324928284,0.2777777910232544,0.15658363699913025,0.32645654678344727,0.03326713666319847,0.5763816833496094,0.06389465183019638,0.13439329862594604
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846118477,178,1,19,0,89w5c6pw7vn0dxypi61tt0g4k,7ty1wdxxnusgkl34k5raipbl5,M. van Bergen,15,89.3,36.8,0,0,0,1,0,0.09298998862504959,0.08799999952316284,0.042812079191207886,0.3233945071697235,0.10436432808637619,0.21878667175769806,0.01795799843966961,0.6776618957519531,0.08559346199035645,0.130312180519104
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846121407,265,1,25,52,dqk062lu0vm8epvytbm6r4mmf,3hu6e9wa0nt4ekubxye6l4pas,I. Yegoian,13,77.5,68.5,0,0,0,0,0,0.024022947996854782,0.0,0.034674063324928284,0.15909090638160706,0.2738095223903656,0.45691677927970886,0.011372596025466919,0.5059131383895874,0.025797531008720398,0.09831948801875115
2025-09-14_SBV Excelsior - Sparta Rotterdam.json,2846121431,266,1,25,55,dqk062lu0vm8epvytbm6r4mmf,aeqj9ogm0dntus0wl352w9z6y,C. Widell,15,89.2,53.8,0,0,0,1,0,0.13627992570400238,0.46236559748649597,0.046983759850263596,0.2731277644634247,0.5058823823928833,0.2452591508626938,0.009552551433444023,0.6447102427482605,0.10047806054353714,0.284927885979414
