match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2025-11-02_FC Groningen - FC Twente.json,2868018723,28,1,2,36,cos9hxi16eitbcbthof7zrm4m,by85t8ssyumcjcks1jx3v96vo,Y. Taha,15,41.8,75.2,0,0,1,0,0,0.04280821979045868,0.04433497413992882,0.046983759850263596,0.2594696879386902,0.10436432808637619,0.6644981503486633,0.008142458274960518,0.3117086589336395,0.015650765970349312,0.0995921939611435
2025-11-02_FC Groningen - FC Twente.json,2868022851,58,1,6,11,4tic29sox7m39fy1ztgv0jsiq,lduqoe45t2fnbn9s9rbvlnf9,R. Pröpper,13,93.0,61.1,0,0,0,0,0,0.05756358802318573,0.0,0.04532967135310173,0.31630972027778625,0.634782612323761,0.3241349756717682,0.0332917682826519,0.556941032409668,0.08563218265771866,0.21079711839556695
2025-11-02_FC Groningen - FC Twente.json,2868025789,90,1,8,36,cos9hxi16eitbcbthof7zrm4m,1nk0hcaa9o4jnyxc9ndz1lams,D. van der Werff,13,74.0,38.5,0,0,0,0,0,0.024022947996854782,0.0,0.046983759850263596,0.27339643239974976,0.35606059432029724,0.40930289030075073,0.028341110795736313,0.5430593490600586,0.019296707585453987,0.14009274691343307
2025-11-02_FC Groningen - FC Twente.json,2868027263,100,1,9,56,cos9hxi16eitbcbthof7zrm4m,4dk7h575fifmw2lhslevhmhux,M. Rente,15,90.9,43.0,0,0,0,1,0,0.19158878922462463,0.0014577260008081794,0.05809399485588074,0.401197612285614,0.15658363699913025,0.283712238073349,0.020553791895508766,0.49622464179992676,0.1995093673467636,0.16178435187321155
2025-11-02_FC Groningen - FC Twente.json,2868027307,101,1,9,58,cos9hxi16eitbcbthof7zrm4m,1nk0hcaa9o4jnyxc9ndz1lams,D. van der Werff,15,90.5,50.1,0,0,1,0,0,0.19158878922462463,0.3938356041908264,0.4179431200027466,0.4680337905883789,0.3692307770252228,0.2265181690454483,0.021965093910694122,0.5881150364875793,0.1634017527103424,0.3681264162063599
2025-11-02_FC Groningen - FC Twente.json,2868028299,94,1,10,54,4tic29sox7m39fy1ztgv0jsiq,9nix5y8xcj34ps62r34udtqwa,K. Hlynsson,15,78.4,34.4,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.05809399485588074,0.27726954221725464,0.02985074557363987,0.30695536732673645,0.017575403675436974,0.6378810405731201,0.03758815675973892,0.08017653572023846
2025-11-02_FC Groningen - FC Twente.json,2868032229,139,1,14,23,cos9hxi16eitbcbthof7zrm4m,by85t8ssyumcjcks1jx3v96vo,Y. Taha,15,89.0,49.1,0,0,1,0,0,0.19158878922462463,0.10101009905338287,0.33023256063461304,0.4060402810573578,0.15658363699913025,0.20759347081184387,0.012624411843717098,0.6004970669746399,0.17928506433963776,0.2370910733938217
2025-11-02_FC Groningen - FC Twente.json,2868033803,157,1,15,41,cos9hxi16eitbcbthof7zrm4m,98qi4clazqen9kimkxt3jb6j9,M. Peersman,13,95.8,57.9,0,0,0,0,0,0.11990950256586075,0.0,0.29621848464012146,0.23201175034046173,0.634782612323761,0.5440046191215515,0.028210099786520004,0.2946881651878357,0.13309717178344727,0.256584469974041
2025-11-02_FC Groningen - FC Twente.json,2868038203,197,1,20,4,cos9hxi16eitbcbthof7zrm4m,98qi4clazqen9kimkxt3jb6j9,M. Peersman,15,87.1,52.1,0,0,1,0,0,0.3711583912372589,0.3938356041908264,0.33023256063461304,0.8471337556838989,0.4488444924354553,0.16832497715950012,0.013826402835547924,0.5092012882232666,0.3086473345756531,0.47824096083641054
2025-11-02_FC Groningen - FC Twente.json,2868038797,200,1,20,40,cos9hxi16eitbcbthof7zrm4m,98qi4clazqen9kimkxt3jb6j9,M. Peersman,13,95.4,45.8,0,0,0,0,0,0.13627992570400238,0.0,0.29621848464012146,0.27726954221725464,0.8265895843505859,0.5362752676010132,0.03468650206923485,0.33914148807525635,0.08989672362804413,0.3072715073823929
2025-11-02_FC Groningen - FC Twente.json,2868041237,237,1,23,37,cos9hxi16eitbcbthof7zrm4m,3aly8eihwfvtwde7dg0k18w7o,J. Schreuders,15,84.6,61.3,0,0,1,0,0,0.10483871400356293,0.18400000035762787,0.042812079191207886,0.3601609766483307,0.15658363699913025,0.2764350175857544,0.018203625455498695,0.6338251233100891,0.07153629511594772,0.16967908143997193
2025-11-02_FC Groningen - FC Twente.json,2868041273,238,1,23,41,cos9hxi16eitbcbthof7zrm4m,1nk0hcaa9o4jnyxc9ndz1lams,D. van der Werff,13,84.7,35.1,0,0,0,0,0,0.04280821979045868,0.0,0.04532967135310173,0.27339643239974976,0.302325576543808,0.32977354526519775,0.01326608657836914,0.6115050315856934,0.04545529931783676,0.13277198001742363
2025-11-02_FC Groningen - FC Twente.json,2868048129,302,1,30,46,cos9hxi16eitbcbthof7zrm4m,1nk0hcaa9o4jnyxc9ndz1lams,D. van der Werff,13,92.9,50.5,0,0,0,0,0,0.13627992570400238,0.00036088054184801877,0.29621848464012146,0.31630972027778625,0.35606059432029724,0.5786237120628357,0.023035099729895592,0.31794121861457825,0.08039996027946472,0.22104592109681107
2025-11-02_FC Groningen - FC Twente.json,2868049327,239,1,31,41,4tic29sox7m39fy1ztgv0jsiq,5m8pflpgynidzk7d9507oujje,D. Rots,15,83.8,27.4,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.2731277644634247,0.0,0.3714004456996918,0.0064919558353722095,0.6020120978355408,0.020095499232411385,0.06806473443866708
2025-11-02_FC Groningen - FC Twente.json,2868050019,317,1,32,9,cos9hxi16eitbcbthof7zrm4m,by85t8ssyumcjcks1jx3v96vo,Y. Taha,15,93.1,32.1,0,0,0,1,0,0.05756358802318573,0.00036088054184801877,0.04772234335541725,0.4680337905883789,0.0782608687877655,0.23391205072402954,0.02934367023408413,0.6835014224052429,0.053242895752191544,0.13038829425931908
2025-11-02_FC Groningen - FC Twente.json,2868051317,322,1,33,4,cos9hxi16eitbcbthof7zrm4m,ei9h1loyggj8fnf1q4jfdm710,T. van Bergen,13,96.2,55.4,0,0,0,0,0,0.21265378594398499,0.0,0.4179431200027466,0.4680337905883789,0.8265895843505859,0.42203742265701294,0.020763307809829712,0.33862796425819397,0.21857133507728577,0.38504405617713927
2025-11-02_FC Groningen - FC Twente.json,2868052473,254,1,33,54,4tic29sox7m39fy1ztgv0jsiq,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,15,86.7,57.3,0,0,0,1,0,0.13627992570400238,0.00036088054184801877,0.042812079191207886,0.36234569549560547,0.10436432808637619,0.20746873319149017,0.01583353616297245,0.6451202034950256,0.1315774768590927,0.12923258180380798
