match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2025-11-29_SBV Excelsior - NAC Breda.json,2877851753,170,1,17,26,59t7flioj4w4mpwnrwbm0m8ck,dc4n5ylytswddlvd82snkb90q,S. van Hooijdonk,13,86.2,54.4,0,0,0,0,0,0.024022947996854782,0.0,0.02995169162750244,0.27339643239974976,0.4615384638309479,0.6100411415100098,0.008418470621109009,0.3561159074306488,0.025424495339393616,0.15778190717101098
2025-11-29_SBV Excelsior - NAC Breda.json,2877858751,210,1,22,50,dqk062lu0vm8epvytbm6r4mmf,6coor7jll29drx4kgvyt499wq,N. Naujoks,16,88.5,50.0,1,0,1,0,1,0.79,0.79,0.79,1.0,0.79,0.0,0.0,0.0,0.79,0.8320000000000001
2025-11-29_SBV Excelsior - NAC Breda.json,2877884221,309,1,38,26,59t7flioj4w4mpwnrwbm0m8ck,bgzvhtk50gvmq6noheadmc34l,D. Odoi,13,91.9,53.4,0,0,0,0,0,0.07782100886106491,0.0,0.02995169162750244,0.23201175034046173,0.6594594717025757,0.5933329463005066,0.02993057854473591,0.2923227548599243,0.08441372215747833,0.19984878450632096
2025-11-29_SBV Excelsior - NAC Breda.json,2877888687,332,1,40,22,59t7flioj4w4mpwnrwbm0m8ck,37c696bwovmn1x8lc8z4wp53o,C. Valerius,13,78.8,39.1,0,0,0,0,0,0.024022947996854782,0.0,0.03171641752123833,0.20000000298023224,0.35606059432029724,0.4808151423931122,0.010119264014065266,0.48899954557418823,0.0200660303235054,0.12235999256372451
2025-11-29_SBV Excelsior - NAC Breda.json,2877895477,370,1,43,30,59t7flioj4w4mpwnrwbm0m8ck,4f8xb5sbyksacxmifi375h7qi,K. Sowah,13,85.0,50.7,0,0,0,0,0,0.13627992570400238,0.0,0.05809399485588074,0.3601609766483307,0.6594594717025757,0.2629449665546417,0.015964237973093987,0.62738436460495,0.09370642155408859,0.2427988737821579
2025-11-29_SBV Excelsior - NAC Breda.json,2877900465,383,1,45,41,dqk062lu0vm8epvytbm6r4mmf,5nhideyjwp2347ryi1n9wfq50,D. Sanches Fernandes,13,82.0,23.1,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.3233945071697235,0.35606059432029724,0.384441077709198,0.01939798891544342,0.582272469997406,0.013888457790017128,0.1492580257356167
2025-11-29_SBV Excelsior - NAC Breda.json,2877952527,445,2,53,52,59t7flioj4w4mpwnrwbm0m8ck,dc4n5ylytswddlvd82snkb90q,S. van Hooijdonk,15,87.1,36.1,0,0,0,1,0,0.09298998862504959,0.0014577260008081794,0.0703125,0.36234569549560547,0.10436432808637619,0.27460959553718567,0.02058427967131138,0.6278545260429382,0.07695156335830688,0.12629404764156787
2025-11-29_SBV Excelsior - NAC Breda.json,2877954191,450,2,54,38,59t7flioj4w4mpwnrwbm0m8ck,c3j7ddqg0yzporam6gieibgiy,C. Brym,15,74.9,53.8,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.034674063324928284,0.16802167892456055,0.009999999776482582,0.3479955196380615,0.008527567610144615,0.6065173149108887,0.03695959970355034,0.0496728275960777
2025-11-29_SBV Excelsior - NAC Breda.json,2877962239,496,2,58,19,59t7flioj4w4mpwnrwbm0m8ck,c3j7ddqg0yzporam6gieibgiy,C. Brym,13,75.4,51.5,0,0,0,0,0,0.024022947996854782,0.00036088054184801877,0.03171641752123833,0.20000000298023224,0.302325576543808,0.38445743918418884,0.014964633621275425,0.560405433177948,0.040172502398490906,0.11168516511679627
2025-11-29_SBV Excelsior - NAC Breda.json,2877967073,521,2,60,47,59t7flioj4w4mpwnrwbm0m8ck,4ported2opjp4xbp87bpqb6z8,M. Soumano,15,78.2,64.9,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.042812079191207886,0.27339643239974976,0.03097345121204853,0.3172232508659363,0.020950250327587128,0.6294587254524231,0.03236779943108559,0.07657007175148464
