match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-02-07_FC Twente - SC Heerenveen.json,2897574797,42,1,3,4,4vd2t5schmvvufrfib7f2vjdf,f593mnttzie8gicqlig2zvzvu,A. van Axel Dongen,13,93.4,47.2,0,0,0,0,0,0.21265378594398499,0.00036088054184801877,0.29621848464012146,0.4680337905883789,0.6594594717025757,0.43726640939712524,0.0549759641289711,0.3047310709953308,0.20302657783031464,0.3273452826833818
2026-02-07_FC Twente - SC Heerenveen.json,2897577131,76,1,6,8,4tic29sox7m39fy1ztgv0jsiq,6wwk8y9mklkh8x606ynhe1lp0,S. Ørjasæter,15,95.8,66.2,0,0,1,0,0,0.09298998862504959,0.10101009905338287,0.046983759850263596,0.47999998927116394,0.10436432808637619,0.2280762791633606,0.017014218494296074,0.6642628312110901,0.09064667671918869,0.16506963297724725
2026-02-07_FC Twente - SC Heerenveen.json,2897578949,99,1,8,30,4tic29sox7m39fy1ztgv0jsiq,9nix5y8xcj34ps62r34udtqwa,K. Hlynsson,13,87.5,48.3,0,0,0,0,0,0.19158878922462463,0.00036088054184801877,0.05809399485588074,0.4060402810573578,0.5058823823928833,0.2674364745616913,0.015147649683058262,0.5801252126693726,0.13729067146778107,0.2323932656145189
2026-02-07_FC Twente - SC Heerenveen.json,2897582405,145,1,12,37,4tic29sox7m39fy1ztgv0jsiq,ewwo2c7kw1b1okrngjl4j4dm1,S. Lammers,15,86.4,38.3,0,0,0,1,0,0.04280821979045868,0.00036088054184801877,0.046983759850263596,0.20000000298023224,0.0782608687877655,0.28277361392974854,0.013406782411038876,0.6535564661026001,0.05026315152645111,0.0736827463901136
2026-02-07_FC Twente - SC Heerenveen.json,2897582447,146,1,12,42,4tic29sox7m39fy1ztgv0jsiq,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,13,80.2,38.3,0,0,0,0,0,0.024022947996854782,0.0,0.042812079191207886,0.09375,0.5058823823928833,0.6038938760757446,0.008254781365394592,0.36310645937919617,0.024744845926761627,0.1332934819161892
2026-02-07_FC Twente - SC Heerenveen.json,2897586655,180,1,17,26,4tic29sox7m39fy1ztgv0jsiq,dc119ejc7lls2rd3ywigl2smi,R. Zerrouki,15,78.4,45.2,0,0,1,0,0,0.04280821979045868,0.04433497413992882,0.046983759850263596,0.29398664832115173,0.0625,0.3167297840118408,0.026933321729302406,0.6142243146896362,0.04211258143186569,0.09812272042036056
2026-02-07_FC Twente - SC Heerenveen.json,2897586785,183,1,17,33,4tic29sox7m39fy1ztgv0jsiq,a339o11ut8s1o9odm6ybc4pka,T. van den Belt,15,93.6,53.6,0,0,1,0,0,0.21265378594398499,0.14536741375923157,0.29621848464012146,0.4680337905883789,0.15658363699913025,0.4227186441421509,0.04016619548201561,0.33219799399375916,0.20491711795330048,0.25577142238616946
2026-02-07_FC Twente - SC Heerenveen.json,2897586889,186,1,17,40,4tic29sox7m39fy1ztgv0jsiq,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,13,82.2,49.1,0,0,0,0,0,0.07782100886106491,0.0014577260008081794,0.046983759850263596,0.31630972027778625,0.8265895843505859,0.27221474051475525,0.015801873058080673,0.6409657001495361,0.07101765275001526,0.25383235986810176
2026-02-07_FC Twente - SC Heerenveen.json,2897587929,194,1,18,48,4tic29sox7m39fy1ztgv0jsiq,dc119ejc7lls2rd3ywigl2smi,R. Zerrouki,16,81.5,53.0,1,0,1,0,0,0.09298998862504959,0.4728682041168213,0.042812079191207886,0.2777777910232544,0.6594594717025757,0.29158303141593933,0.01829317770898342,0.5997415781021118,0.09038226306438446,0.30918150693178176
2026-02-07_FC Twente - SC Heerenveen.json,2897592955,271,1,25,53,4tic29sox7m39fy1ztgv0jsiq,a339o11ut8s1o9odm6ybc4pka,T. van den Belt,15,82.5,53.4,0,0,0,1,0,0.09298998862504959,0.011029412038624287,0.04532967135310173,0.29398664832115173,0.35606059432029724,0.23167362809181213,0.022963060066103935,0.643569827079773,0.10179352015256882,0.15987926293164492
