match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936050711,7,1,0,51,3kfktv64h7kg7zryax1wktr5r,59ynmlwky3h6m9g2r7a8igi96,T. Parrott,16,85.5,47.7,1,0,1,0,0,0.19158878922462463,0.10101009905338287,0.29621848464012146,0.36234569549560547,0.15658363699913025,0.23281757533550262,0.01581530272960663,0.5564638376235962,0.19490329921245575,0.22154934108257293
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936057747,78,1,7,44,3kfktv64h7kg7zryax1wktr5r,7jpreaads35pnnfqbn7hmrmy,S. Mijnans,13,71.6,46.4,0,0,0,0,0,0.024022947996854782,0.0,0.046983759850263596,0.27339643239974976,0.5058823823928833,0.45983055233955383,0.019680753350257874,0.4994708001613617,0.021017948165535927,0.17005710452795028
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936064363,143,1,16,4,20vymiy7bo8wkyxai3ew494fz,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,15,90.5,65.0,0,0,1,0,0,0.03790983557701111,0.08799999952316284,0.046983759850263596,0.20000000298023224,0.10436432808637619,0.5159477591514587,0.019054444506764412,0.42836466431617737,0.036633167415857315,0.0954515852034092
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936064471,144,1,16,10,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,13,91.4,35.4,0,0,0,0,0,0.05756358802318573,0.00036088054184801877,0.034674063324928284,0.27726954221725464,0.7222222089767456,0.2813805639743805,0.012936137616634369,0.640941858291626,0.06474139541387558,0.21841805661679245
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936073073,201,1,23,22,3kfktv64h7kg7zryax1wktr5r,73lwz4he5erpp25zi8crjvztg,I. Jensen,15,88.4,37.4,0,0,0,1,0,0.10483871400356293,0.0014577260008081794,0.042812079191207886,0.36234569549560547,0.10436432808637619,0.20494508743286133,0.01856052875518799,0.6823763847351074,0.09411801397800446,0.12316370855551213
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936077091,253,1,26,32,20vymiy7bo8wkyxai3ew494fz,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,15,92.4,60.1,0,0,1,0,0,0.024022947996854782,0.08799999952316284,0.02995169162750244,0.1875,0.051948051899671555,0.515235424041748,0.02274775318801403,0.4407714605331421,0.021245375275611877,0.07628453820943833
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936078941,237,1,28,2,3kfktv64h7kg7zryax1wktr5r,73lwz4he5erpp25zi8crjvztg,I. Jensen,15,85.6,44.0,0,0,0,1,0,0.05756358802318573,0.011029412038624287,0.009615384973585606,0.2731277644634247,0.3692307770252228,0.24972397089004517,0.011912019923329353,0.6626138091087341,0.0757502019405365,0.1441133853048086
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936081367,267,1,30,12,3kfktv64h7kg7zryax1wktr5r,wuh8s4gfo9ro3nel3rormg44,R. Daal,15,82.1,65.7,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.042812079191207886,0.27339643239974976,0.033707864582538605,0.32052183151245117,0.02200476825237274,0.6192606687545776,0.03821273520588875,0.07711695442558267
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936085633,299,1,33,47,20vymiy7bo8wkyxai3ew494fz,8d0ffyx2qnnp0limf5aou92ei,A. Ueda,13,80.8,45.4,0,0,0,0,0,0.13627992570400238,0.0,0.08461538702249527,0.36234569549560547,0.6594594717025757,0.28739795088768005,0.024341121315956116,0.5727358460426331,0.11552506685256958,0.24854009598493576
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936087081,348,1,35,9,3kfktv64h7kg7zryax1wktr5r,wuh8s4gfo9ro3nel3rormg44,R. Daal,15,85.9,70.1,0,0,0,1,0,0.024022947996854782,0.00036088054184801877,0.042812079191207886,0.27726954221725464,0.0,0.30969148874282837,0.01850832998752594,0.6273162364959717,0.044483982026576996,0.06889308998943307
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936088115,318,1,36,9,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,15,92.3,43.2,0,0,1,0,0,0.3711583912372589,0.26900583505630493,0.33023256063461304,0.8979591727256775,0.35606059432029724,0.2410861998796463,0.01433939766138792,0.4274112284183502,0.3171631991863251,0.44488331079483034
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936101177,464,1,46,47,3kfktv64h7kg7zryax1wktr5r,3uq3lrjyj4mnvq6162b0jyhnt,M. de Wit,13,90.6,72.2,0,0,0,0,0,0.024022947996854782,0.0,0.05809399485588074,0.3947368562221527,0.10436432808637619,0.35270020365715027,0.010601303540170193,0.6110539436340332,0.02564455196261406,0.11624362543225289
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936122757,483,2,45,47,3kfktv64h7kg7zryax1wktr5r,7jpreaads35pnnfqbn7hmrmy,S. Mijnans,13,91.2,37.3,0,0,0,0,0,0.13627992570400238,0.0,0.05809399485588074,0.36234569549560547,0.5058823823928833,0.2608279287815094,0.018043367192149162,0.5878496766090393,0.13327904045581818,0.21252039968967437
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936125121,432,2,47,40,20vymiy7bo8wkyxai3ew494fz,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,15,80.9,49.7,0,0,1,0,0,0.05756358802318573,0.26900583505630493,0.042812079191207886,0.2594696879386902,0.2641509473323822,0.2902941405773163,0.007734727114439011,0.6417511701583862,0.06021995469927788,0.1786004275083542
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936127591,448,2,50,4,20vymiy7bo8wkyxai3ew494fz,9d4ald4f0m2imaastzen4j8mi,O. Targhalline,13,84.8,56.2,0,0,0,0,0,0.03790983557701111,0.0,0.034674063324928284,0.12244898080825806,0.6594594717025757,0.41428864002227783,0.010293977335095406,0.4966137707233429,0.07880357652902603,0.17089847028255462
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936130353,473,2,53,16,20vymiy7bo8wkyxai3ew494fz,29fr98or3mqippn84z3p9ihhw,L. Valente,13,78.7,55.8,0,0,0,0,0,0.05756358802318573,0.0,0.042812079191207886,0.2777777910232544,0.634782612323761,0.32619789242744446,0.027688685804605484,0.601527988910675,0.04458540305495262,0.2025872141122818
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936133249,501,2,56,44,20vymiy7bo8wkyxai3ew494fz,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,16,89.4,41.7,1,0,1,0,0,0.3711583912372589,0.7763158082962036,0.33023256063461304,0.8979591727256775,0.6594594717025757,0.129133939743042,0.03956171125173569,0.36984360218048096,0.46146079897880554,0.6070250809192658
2026-05-10_Feyenoord Rotterdam - Alkmaar Zaanstreek.json,2936137015,620,2,60,8,3kfktv64h7kg7zryax1wktr5r,59ynmlwky3h6m9g2r7a8igi96,T. Parrott,15,95.8,64.8,0,0,0,1,0,0.11990950256586075,0.08799999952316284,0.042812079191207886,0.4680337905883789,0.10436432808637619,0.1781785637140274,0.029563283547759056,0.7028622031211853,0.0893959030508995,0.1646239399909973
