match_file,event_id,event_index,period_id,time_min,time_sec,contestant_id,player_id,player_name,type_id,x,y,is_goal,is_post,is_on_target,is_outfield_block,is_penalty,xg,psxg,situation_danger,p_on_target,xgot,multi_miss,multi_post,multi_on_target,multi_goal,danger_score
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938900653,28,1,1,35,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,13,75.0,61.1,0,0,0,0,0,0.024022947996854782,0.0,0.034674063324928284,0.27339643239974976,0.2641509473323822,0.3300623297691345,0.0076012746430933475,0.6252959966659546,0.037040408700704575,0.119248878210783
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938903775,48,1,4,4,8iawijq7s9s6d85mjz8wdslki,2yivr64anye4c0p62m16l78yc,S. Ouaissa,15,95.8,33.6,0,0,1,0,0,0.07782100886106491,0.26900583505630493,0.042812079191207886,0.47999998927116394,0.2738095223903656,0.22675442695617676,0.014604158699512482,0.6806747317314148,0.07796666771173477,0.22868968695402145
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938904359,54,1,4,36,8iawijq7s9s6d85mjz8wdslki,4pqi5vt820333t5zsj2refc2d,B. Linssen,15,79.3,40.6,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.034674063324928284,0.12244898080825806,0.0,0.3812587559223175,0.008290289901196957,0.5721988677978516,0.038252092897892,0.03855828801752068
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938904633,58,1,4,49,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,13,76.2,31.9,0,0,0,0,0,0.024022947996854782,0.0,0.034674063324928284,0.16802167892456055,0.3692307770252228,0.44470587372779846,0.009496203623712063,0.5109703540802002,0.034827541559934616,0.11918989345431327
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938906447,75,1,6,11,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,15,90.3,56.4,0,0,0,1,0,0.19158878922462463,0.0038314175326377153,0.046983759850263596,0.401197612285614,0.2738095223903656,0.16583925485610962,0.016865428537130356,0.6053818464279175,0.21191346645355225,0.1834822202567011
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938909407,105,1,8,34,8iawijq7s9s6d85mjz8wdslki,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,15,77.6,61.9,0,0,0,1,0,0.03790983557701111,0.00036088054184801877,0.046983759850263596,0.27339643239974976,0.009999999776482582,0.3464008569717407,0.010731709189713001,0.5978971719741821,0.04497027397155762,0.07373018162907101
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938912921,139,1,11,26,8iawijq7s9s6d85mjz8wdslki,ac3lkaa1lkbsa82tfylq5zcb8,N. Lebreton,16,94.3,50.5,1,0,1,0,0,0.21265378594398499,0.7763158082962036,0.29621848464012146,0.4060402810573578,0.8265895843505859,0.3837141692638397,0.017921218648552895,0.39330488443374634,0.2050597071647644,0.5035635888576507
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938918547,125,1,15,53,b79uipsy57y1jqpy07h4i5ovk,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,15,91.4,57.7,0,0,0,1,0,0.05756358802318573,0.00036088054184801877,0.03171641752123833,0.30042919516563416,0.051948051899671555,0.5005626678466797,0.018090438097715378,0.42221763730049133,0.0591292604804039,0.08840362663031556
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938918727,194,1,16,10,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,15,91.2,65.2,0,0,1,0,0,0.13627992570400238,0.04433497413992882,0.07213114947080612,0.4351145029067993,0.0782608687877655,0.2555311620235443,0.03044162690639496,0.6079277396202087,0.1060994565486908,0.15322428420186043
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938923129,234,1,21,50,8iawijq7s9s6d85mjz8wdslki,4pqi5vt820333t5zsj2refc2d,B. Linssen,14,93.0,48.3,0,1,0,0,0,0.45614033937454224,0.0014577260008081794,0.07213114947080612,0.6534653306007385,0.5542168617248535,0.25455814599990845,0.047308627516031265,0.27016493678092957,0.42796823382377625,0.3474822814343497
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938923755,244,1,22,59,8iawijq7s9s6d85mjz8wdslki,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,13,94.8,68.1,0,0,0,0,0,0.05756358802318573,0.0,0.042812079191207886,0.4680337905883789,0.5058823823928833,0.23784036934375763,0.013604963198304176,0.6911131143569946,0.057441528886556625,0.21485836803913116
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938925991,279,1,26,1,8iawijq7s9s6d85mjz8wdslki,ac3lkaa1lkbsa82tfylq5zcb8,N. Lebreton,14,85.5,46.6,0,1,0,0,0,0.3711583912372589,0.00036088054184801877,0.33023256063461304,0.8471337556838989,0.8265895843505859,0.1549055129289627,0.06991858035326004,0.44388407468795776,0.3312917947769165,0.47509503448964097
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938926007,280,1,26,3,8iawijq7s9s6d85mjz8wdslki,ac3lkaa1lkbsa82tfylq5zcb8,N. Lebreton,16,95.4,52.1,1,0,1,0,0,0.45614033937454224,0.7763158082962036,0.33023256063461304,0.6534653306007385,0.8265895843505859,0.2131860852241516,0.039525702595710754,0.331576406955719,0.41571182012557983,0.6085487246513367
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938926917,285,1,27,20,8iawijq7s9s6d85mjz8wdslki,8624hqd4nlbzcoqsetvsvla8k,D. Fonville,15,91.8,62.0,0,0,0,1,0,0.19158878922462463,0.52173912525177,0.08461538702249527,0.4680337905883789,0.6973684430122375,0.23448418080806732,0.014532040804624557,0.5611175298690796,0.18986621499061584,0.39266910701990126
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938927777,296,1,28,31,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,15,98.2,36.8,0,0,1,0,0,0.05756358802318573,0.10101009905338287,0.034674063324928284,0.4351145029067993,0.10436432808637619,0.29860779643058777,0.057762518525123596,0.570750892162323,0.07287881523370743,0.14654531627893447
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938930843,334,1,31,45,8iawijq7s9s6d85mjz8wdslki,2yivr64anye4c0p62m16l78yc,S. Ouaissa,15,92.4,44.2,0,0,1,0,0,0.13627992570400238,0.08799999952316284,0.04532967135310173,0.4680337905883789,0.10436432808637619,0.498455673456192,0.02075190283358097,0.3653991222381592,0.11539335548877716,0.1684015430510044
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938934007,253,1,34,12,b79uipsy57y1jqpy07h4i5ovk,1m0qpbce7dob7mdbo7titbqp5,V. Edvardsen,15,90.6,44.2,0,0,0,1,0,0.21265378594398499,0.0038314175326377153,0.04772234335541725,0.4680337905883789,0.35606059432029724,0.23906393349170685,0.024056095629930496,0.5315675735473633,0.20531243085861206,0.21766038634814322
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938942663,433,1,40,24,8iawijq7s9s6d85mjz8wdslki,dse071e8zbzm8l37m64g6e1p0,K. Sano,15,76.9,51.3,0,0,1,0,0,0.024022947996854782,0.14536741375923157,0.034674063324928284,0.12244898080825806,0.10436432808637619,0.38970983028411865,0.009670527651906013,0.5606958866119385,0.03992375358939171,0.08617554679512977
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938949893,460,1,45,33,8iawijq7s9s6d85mjz8wdslki,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,15,94.0,59.1,0,0,0,1,0,0.16129031777381897,0.0014577260008081794,0.04532967135310173,0.3947368562221527,0.10436432808637619,0.17916490137577057,0.028897617012262344,0.6254404783248901,0.16649697721004486,0.14143577988725156
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938950021,461,1,45,36,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,15,87.7,55.6,0,0,0,1,0,0.19158878922462463,0.0038314175326377153,0.04532967135310173,0.36234569549560547,0.2641509473323822,0.1828099638223648,0.020668290555477142,0.617424726486206,0.1790969967842102,0.17344930418767035
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938950641,465,1,46,7,8iawijq7s9s6d85mjz8wdslki,dse071e8zbzm8l37m64g6e1p0,K. Sano,13,82.7,51.3,0,0,0,0,0,0.03790983557701111,0.00036088054184801877,0.034674063324928284,0.12244898080825806,0.6594594717025757,0.436921089887619,0.006193684414029121,0.49389755725860596,0.06298762559890747,0.17097064639092424
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938975261,507,2,45,39,8iawijq7s9s6d85mjz8wdslki,2yivr64anye4c0p62m16l78yc,S. Ouaissa,15,91.7,44.3,0,0,1,0,0,0.3655914068222046,0.3938356041908264,0.34585291147232056,0.5,0.4615384638309479,0.25281137228012085,0.017665110528469086,0.42333805561065674,0.30618545413017273,0.4133636772632599
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938975301,508,2,45,42,8iawijq7s9s6d85mjz8wdslki,247ipjjd0cak2sggwbuorx4yy,B. Pereira,15,91.7,54.6,0,0,0,1,0,0.2930774390697479,0.08799999952316284,0.05809399485588074,0.47999998927116394,0.8265895843505859,0.197903111577034,0.02050717920064926,0.5027862191200256,0.2788034975528717,0.3491522014141083
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938975399,509,2,45,43,8iawijq7s9s6d85mjz8wdslki,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,15,74.9,42.1,0,0,0,1,0,0.035307515412569046,0.00036088054184801877,0.04532967135310173,0.2594696879386902,0.009999999776482582,0.39389076828956604,0.008536694571375847,0.5728645324707031,0.02470799908041954,0.07009355100453832
2026-05-17_Nijmegen Eendracht Combinatie - Go Ahead Eagles.json,2938980317,529,2,48,44,8iawijq7s9s6d85mjz8wdslki,4pqi5vt820333t5zsj2refc2d,B. Linssen,15,87.1,54.8,0,0,1,0,0,0.19158878922462463,0.26900583505630493,0.07213114947080612,0.36234569549560547,0.5058823823928833,0.2452278584241867,0.020682014524936676,0.5614684224128723,0.1726217120885849,0.2801907703280449
