match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,4,1,0,13,dac758ef858jbq7pcb3gfwite,Heracles Almelo,f2snk84xy67ergwrwoblgt2ad,T. Bruns,49,Ball Recovery,49.455000000000005,51.408,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,7,1,0,35,dac758ef858jbq7pcb3gfwite,Heracles Almelo,do5gstk4ks97daehnudehyjxm,J. Žambůrek,8,Interception,67.30499999999999,20.060000000000002,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,9,1,0,35,dac758ef858jbq7pcb3gfwite,Heracles Almelo,5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,49,Ball Recovery,68.04,22.848000000000003,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,509,1,0,37,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,247ipjjd0cak2sggwbuorx4yy,B. Pereira,12,Clearance,25.830000000000002,21.828000000000003,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,510,1,1,44,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,ds0hd4ezvb5rw6l95rhbxtq1g,B. Önal,49,Ball Recovery,13.125,60.928,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,22,1,2,9,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,8gde39dg3u3kqhd8pa2mdcn2t,T. Chery,50,Dispossessed,33.39,6.392,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,17,1,2,9,dac758ef858jbq7pcb3gfwite,Heracles Almelo,80dk8iv6p0202z10qcqy8bfca,S. Scheperman,7,Tackle,71.61,61.608000000000004,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,18,1,2,11,dac758ef858jbq7pcb3gfwite,Heracles Almelo,80dk8iv6p0202z10qcqy8bfca,S. Scheperman,49,Ball Recovery,82.635,62.764,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,29,1,3,41,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,913pg8qqcjp99h5fjybbenob9,P. Sandler,44,Aerial Duel,35.07,45.084,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,24,1,3,41,dac758ef858jbq7pcb3gfwite,Heracles Almelo,5i0e7e59vav8ynqzt7qrvitt6,J. Hornkamp,44,Aerial Duel,69.92999999999999,22.916000000000004,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,35,1,4,10,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,dse071e8zbzm8l37m64g6e1p0,K. Sano,49,Ball Recovery,59.115,42.772000000000006,True,recovery,0.20810685640277274,31,Heracles Almelo,D. Mirani,29.19,24.48,77.80499999999999,30.328000000000003
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,34,1,4,11,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,dse071e8zbzm8l37m64g6e1p0,K. Sano,50,Dispossessed,40.845,41.344,False,,,,,,,,,
2025-08-16_Heracles Almelo - Nijmegen Eendracht Combinatie,33,1,4,11,dac758ef858jbq7pcb3gfwite,Heracles Almelo,do5gstk4ks97daehnudehyjxm,J. Žambůrek,7,Tackle,64.155,26.656000000000002,False,,,,,,,,,
