match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-02-22_Feyenoord Rotterdam - SC Telstar,3,1,0,14,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,44,Aerial Duel,17.325,51.00000000000001,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,6,1,0,14,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,1pmoxunz3nw0ptd6g64maam7d,N. Þórisson,44,Aerial Duel,87.675,17.0,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,4,1,0,14,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,12,Clearance,17.325,51.00000000000001,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,781,1,0,18,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,dk7zyk16nsnh0czeky7vi0x78,S. van Duijn,8,Interception,78.015,8.84,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,10,1,0,38,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,1k60tee702idfrp0ibca1s57u,G. Offerhaus,49,Ball Recovery,50.400000000000006,16.592,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,26,1,1,30,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,y1ky8sp8scl05mmfr7byy3md,J. Hardeveld,49,Ball Recovery,40.95,52.7,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,13,1,2,12,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,43ib46nh45n9oajf5rmaz4f6x,Hwang In-Beom,49,Ball Recovery,39.165,19.788000000000004,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,32,1,2,27,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,49,Ball Recovery,15.645000000000001,33.524,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,19,1,2,39,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,29fr98or3mqippn84z3p9ihhw,L. Valente,49,Ball Recovery,34.44,48.144,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,35,1,2,47,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,14csdlb8p0tnj6zqrs148ct1w,J. Ritmeester van de Kamp,49,Ball Recovery,39.165,43.316,True,recovery,0.3209512941169057,21,Feyenoord Rotterdam,G. Smal,37.695,63.71600000000001,63.945,29.444
2026-02-22_Feyenoord Rotterdam - SC Telstar,22,1,3,13,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,ciguyr553yqapqfudim9af46h,M. Deijl,49,Ball Recovery,32.655,4.148,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,43,1,3,22,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,4fu2agdclsyxx1boxxibauzo4,G. Alders,49,Ball Recovery,65.10000000000001,31.484,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,28,1,3,27,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,49,Ball Recovery,39.480000000000004,18.428,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,29,1,3,29,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,dwyl0yii553i57u7azfa7d15g,A. Hadj Moussa,50,Dispossessed,47.04,16.728,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,45,1,3,29,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,y1ky8sp8scl05mmfr7byy3md,J. Hardeveld,7,Tackle,57.96000000000001,51.272000000000006,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,34,1,4,20,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,44,Aerial Duel,49.35,12.920000000000002,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,55,1,4,20,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,cp866ucakmwqiwxrstkaxwgt0,N. Rossen,44,Aerial Duel,55.650000000000006,55.080000000000005,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,71,1,6,46,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,49,Ball Recovery,3.1500000000000004,37.128,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,56,1,7,10,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,44,Aerial Duel,54.495,34.34,True,intercepted,0.4030481551991873,74,SC Telstar,R. Koeman,5.25,39.440000000000005,50.505,33.660000000000004
2026-02-22_Feyenoord Rotterdam - SC Telstar,75,1,7,10,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,1pmoxunz3nw0ptd6g64maam7d,N. Þórisson,44,Aerial Duel,50.505,33.660000000000004,False,,,,,,,,,
2026-02-22_Feyenoord Rotterdam - SC Telstar,61,1,7,51,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,49,Ball Recovery,20.16,33.32,False,,,,,,,,,
