match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-03-15_FC Twente - FC Utrecht,3,1,0,11,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,8,Interception,26.040000000000003,10.88,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,4,1,0,31,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,49,Ball Recovery,26.25,16.048000000000002,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,16,1,0,48,ccpscwdcm65czscrun048ecn5,FC Twente,2tc8y9du64tjno62zll2jhy7e,Y. Cathline,8,Interception,31.395,39.168000000000006,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,19,1,1,23,ccpscwdcm65czscrun048ecn5,FC Twente,9q90ls3k1i2739wd6a20fku6t,V. Barkas,49,Ball Recovery,9.66,40.052,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,22,1,1,43,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,5r47vtvu418kae5j2rpv6w2dw,M. Rots,50,Dispossessed,43.260000000000005,49.912000000000006,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,25,1,1,43,ccpscwdcm65czscrun048ecn5,FC Twente,c3j7m8kaoius8i6jihubgy6p6,Ángel Alarcón,7,Tackle,61.74,18.088,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,23,1,1,46,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,5r47vtvu418kae5j2rpv6w2dw,M. Rots,49,Ball Recovery,32.76,55.760000000000005,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,28,1,2,17,ccpscwdcm65czscrun048ecn5,FC Twente,2tc8y9du64tjno62zll2jhy7e,Y. Cathline,7,Tackle,48.510000000000005,56.644000000000005,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,29,1,2,22,ccpscwdcm65czscrun048ecn5,FC Twente,9q90ls3k1i2739wd6a20fku6t,V. Barkas,49,Ball Recovery,12.600000000000001,32.164,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,38,1,2,45,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,cocgd3hh74fq9c30x9bps4idw,S. Lemkin,12,Clearance,31.605000000000004,4.760000000000001,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,40,1,3,31,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,3xlkchrk28u0cb620cajre1hw,R. Nijstad,8,Interception,46.095,32.776,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,42,1,3,33,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,5r47vtvu418kae5j2rpv6w2dw,M. Rots,49,Ball Recovery,42.839999999999996,45.56,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,46,1,3,34,ccpscwdcm65czscrun048ecn5,FC Twente,4ej8uchqe3rt1s5h6phjo3310,G. Zechiël,8,Interception,49.035000000000004,30.736000000000004,True,intercepted,0.8830509690987776,43,FC Utrecht,M. Rots,42.839999999999996,45.56,55.964999999999996,37.264
2026-03-15_FC Twente - FC Utrecht,48,1,3,39,ccpscwdcm65czscrun048ecn5,FC Twente,8lt54ei6pcu25u8uerigmx5yi,A. Engwanda,49,Ball Recovery,34.125,40.052,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,46,1,4,5,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,qobf1v5kwuz6hj2ooixfw4mi,B. van Rooij,49,Ball Recovery,36.12,11.22,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,58,1,4,45,ccpscwdcm65czscrun048ecn5,FC Twente,3ypxn1nvgv8e321sq5394w3my,M. Didden,50,Dispossessed,44.31,12.784,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,56,1,4,45,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,2hbduprkyabq8g1nhe6b4g3bp,M. Pjaca,7,Tackle,60.69,55.21600000000001,False,,,,,,,,,
2026-03-15_FC Twente - FC Utrecht,57,1,4,45,4tic29sox7m39fy1ztgv0jsiq,FC Utrecht,2hbduprkyabq8g1nhe6b4g3bp,M. Pjaca,50,Dispossessed,59.64,54.604,False,,,,,,,,,
