match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2025-11-08_PEC Zwolle - Sparta Rotterdam,5,1,0,6,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,2072f0p9ful9u577gdvo89yw9,K. Kostons,44,Aerial Duel,82.84500000000001,56.984,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,3,1,0,6,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,f57vs3qmmob743hdk2dxf56cq,S. Sambo,44,Aerial Duel,22.155,11.016,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,4,1,0,8,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,ass524umdrpsq324wksaqef4k,M. Young,12,Clearance,8.61,11.084000000000001,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,6,1,0,38,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,6q77vt9bp8dsq48pa97mfzsa1,T. Lauritsen,12,Clearance,12.075000000000001,24.888,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,7,1,0,41,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,ccmmsnrfn58gwi1petlp08f3e,L. Duijvestijn,12,Clearance,13.755,31.076000000000004,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,8,1,0,46,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,ass524umdrpsq324wksaqef4k,M. Young,12,Clearance,13.440000000000001,24.752000000000002,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,10,1,1,8,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,ccmmsnrfn58gwi1petlp08f3e,L. Duijvestijn,12,Clearance,13.86,27.200000000000003,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,11,1,1,32,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,6w59kdfilru1152bjutstu2fp,J. de Guzmán,12,Clearance,20.580000000000002,32.980000000000004,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,12,1,1,33,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,7ty1wdxxnusgkl34k5raipbl5,M. van Bergen,49,Ball Recovery,35.595,30.328000000000003,False,,,,,,,,,
2025-11-08_PEC Zwolle - Sparta Rotterdam,27,1,1,49,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,684nd3xjli51z43pbla0mwa21,T. Oosting,12,Clearance,21.105000000000004,25.364,False,,,,,,,,,
