match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2025-12-14_FC Twente - Go Ahead Eagles,7,1,0,15,4tic29sox7m39fy1ztgv0jsiq,FC Twente,2hbduprkyabq8g1nhe6b4g3bp,M. Pjaca,49,Ball Recovery,47.25,63.648,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,11,1,0,53,4tic29sox7m39fy1ztgv0jsiq,FC Twente,5m8pflpgynidzk7d9507oujje,D. Rots,8,Interception,84.84,15.912,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,12,1,0,54,4tic29sox7m39fy1ztgv0jsiq,FC Twente,5m8pflpgynidzk7d9507oujje,D. Rots,49,Ball Recovery,92.4,20.060000000000002,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,14,1,1,25,4tic29sox7m39fy1ztgv0jsiq,FC Twente,lduqoe45t2fnbn9s9rbvlnf9,R. Pröpper,12,Clearance,7.3500000000000005,30.26,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,16,1,1,59,4tic29sox7m39fy1ztgv0jsiq,FC Twente,dc119ejc7lls2rd3ywigl2smi,R. Zerrouki,12,Clearance,9.450000000000001,27.676000000000005,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,17,1,2,0,4tic29sox7m39fy1ztgv0jsiq,FC Twente,9nix5y8xcj34ps62r34udtqwa,K. Hlynsson,49,Ball Recovery,11.340000000000002,12.784,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,20,1,2,5,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,badyafxn00m21tzbdff95o4k4,Y. Salah Rahmouni,12,Clearance,39.58500000000001,61.81200000000001,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,26,1,3,0,4tic29sox7m39fy1ztgv0jsiq,FC Twente,a339o11ut8s1o9odm6ybc4pka,T. van den Belt,44,Aerial Duel,38.22,49.844,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,26,1,3,0,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,44,Aerial Duel,66.78,18.156000000000002,False,,,,,,,,,
2025-12-14_FC Twente - Go Ahead Eagles,30,1,3,24,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,12,Clearance,36.645,16.796,False,,,,,,,,,
