match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-01-24_PSV Eindhoven - NAC Breda,3,1,0,15,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,8z4wdv767cv7ddqgrkz5txsrt,B. Kemper,49,Ball Recovery,36.435,56.168,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,13,1,0,20,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,c6ip6gwp8yvchd1n3dv42go9,Mauro Júnior,49,Ball Recovery,63.839999999999996,16.116,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,8,1,0,27,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,49,Ball Recovery,33.495,60.724000000000004,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,17,1,0,32,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,b0me6l44boibnwpbtasxoy02x,S. Dest,49,Ball Recovery,62.79,7.888,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,17,1,1,7,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,c3j7ddqg0yzporam6gieibgiy,C. Brym,44,Aerial Duel,53.865,33.32,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,22,1,1,7,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,c6ip6gwp8yvchd1n3dv42go9,Mauro Júnior,44,Aerial Duel,51.135000000000005,34.68,True,blocked,0.5793225735889107,291,NAC Breda,C. Brym,53.865,33.32,57.96000000000001,38.828
2026-01-24_PSV Eindhoven - NAC Breda,22,1,1,41,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,d785q9rpqlyuyswv8f9fx4cno,M. Nassoh,49,Ball Recovery,69.92999999999999,51.068,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,29,1,1,47,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,5lvdnoyknuoyr6kdruposgctl,J. Schouten,8,Interception,33.81,13.872,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,34,1,2,43,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,4f8xb5sbyksacxmifi375h7qi,K. Sowah,49,Ball Recovery,62.475,56.236000000000004,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,39,1,2,48,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,c6ip6gwp8yvchd1n3dv42go9,Mauro Júnior,49,Ball Recovery,26.669999999999998,6.392,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,37,1,2,53,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,7,Tackle,48.825,33.048,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,39,1,2,54,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,49,Ball Recovery,60.58500000000001,28.696000000000005,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,45,1,3,6,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,6jhavdnaitqn6ydme8a526aui,C. Driouech,49,Ball Recovery,15.645000000000001,60.928,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,49,1,3,27,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,9vf02r3geinhsy732oxyrcacq,I. Saibari,49,Ball Recovery,83.58,20.128000000000004,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,56,1,4,0,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,d4j19ipiaeuetyij08fofgs15,J. Veerman,49,Ball Recovery,43.260000000000005,32.844,True,recovery,0.25746155841238866,49,NAC Breda,D. Bielica,5.1450000000000005,33.592,64.155,40.188
2026-01-24_PSV Eindhoven - NAC Breda,64,1,4,41,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,c6ip6gwp8yvchd1n3dv42go9,Mauro Júnior,8,Interception,31.71,8.092,False,,,,,,,,,
2026-01-24_PSV Eindhoven - NAC Breda,67,1,5,14,24fvcruwqrqvqa3aonf8c3zuy,PSV Eindhoven,oi8kw43rorvqooiencbnhxck,N. Fernandez,12,Clearance,3.7800000000000002,51.476000000000006,False,,,,,,,,,
