match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-02-07_PEC Zwolle - FC Volendam,460,1,0,11,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,4phgw75cred5p93hjq8hiou6t,S. Floranus,49,Ball Recovery,23.52,48.96,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,363,1,0,15,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,89plvrt8pzppcclh4axvii0ru,A. Plat,49,Ball Recovery,60.27,34.612,True,recovery,0.2594414410225325,5,PEC Zwolle,T. de Graaff,10.290000000000001,34.748000000000005,47.775,30.396000000000004
2026-02-07_PEC Zwolle - FC Volendam,11,1,0,42,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,7,Tackle,45.464999999999996,2.652,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,15,1,1,13,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,89plvrt8pzppcclh4axvii0ru,A. Plat,44,Aerial Duel,58.065,16.728,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,20,1,1,13,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,2072f0p9ful9u577gdvo89yw9,K. Kostons,44,Aerial Duel,46.935,51.272000000000006,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,17,1,1,15,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,4utx4h5jz14whtjawxn7ox0r8,N. Verschuren,49,Ball Recovery,43.260000000000005,24.548000000000002,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,21,1,1,25,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,4phgw75cred5p93hjq8hiou6t,S. Floranus,49,Ball Recovery,60.69,61.81200000000001,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,34,1,2,1,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1rd0zzpp3dn0y7qtxwc57g7h1,R. Thomas,7,Tackle,67.2,40.120000000000005,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,23,1,2,3,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,dej8tywq0npvbm25sfgtqur1m,O. Kökçü,49,Ball Recovery,43.260000000000005,33.932,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,25,1,2,5,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,28rtnolu3a2au3on0jtwzhu6s,P. Ugwu,50,Dispossessed,46.2,26.180000000000003,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,35,1,2,5,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,2072f0p9ful9u577gdvo89yw9,K. Kostons,7,Tackle,58.800000000000004,41.82,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,36,1,2,12,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,4phgw75cred5p93hjq8hiou6t,S. Floranus,7,Tackle,36.855000000000004,62.83200000000001,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,40,1,3,7,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,4phgw75cred5p93hjq8hiou6t,S. Floranus,49,Ball Recovery,31.71,63.648,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,31,1,3,32,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,aklhi0hr28nidjlkw1sokp785,A. Meijers,49,Ball Recovery,8.715000000000002,49.776,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,50,1,3,46,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,9ugpnnovqttl8lguv7wdyiezu,S. Graves,49,Ball Recovery,20.055000000000003,8.5,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,36,1,4,46,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,9bgq1tfyfzc3wg9pfr8q510k4,D. Kwakman,49,Ball Recovery,24.57,56.57600000000001,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,39,1,5,1,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,9bgq1tfyfzc3wg9pfr8q510k4,D. Kwakman,7,Tackle,40.74,64.668,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,40,1,5,8,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,dej8tywq0npvbm25sfgtqur1m,O. Kökçü,50,Dispossessed,54.915,65.144,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,71,1,5,8,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,2072f0p9ful9u577gdvo89yw9,K. Kostons,7,Tackle,50.08500000000001,2.8560000000000003,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,44,1,5,32,6g9qrm72224jrk6tkxxxi8a9n,FC Volendam,7qzban9gm72aznhn11qyxwtg4,K. van Oevelen,49,Ball Recovery,3.3600000000000003,37.876000000000005,False,,,,,,,,,
2026-02-07_PEC Zwolle - FC Volendam,79,1,5,41,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,49,Ball Recovery,29.085,21.012,False,,,,,,,,,
