match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,6,1,0,43,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,czlf1kiqdfepc61hwfutoydqs,Weslley Patati,12,Clearance,7.3500000000000005,41.61600000000001,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,9,1,1,12,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,59ynmlwky3h6m9g2r7a8igi96,T. Parrott,49,Ball Recovery,39.58500000000001,23.528000000000002,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,17,1,1,20,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,3hu6e9wa0nt4ekubxye6l4pas,I. Yegoian,49,Ball Recovery,76.86,16.116,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,20,1,1,47,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,c6i4usq34m3389rtbqptahrai,R. Meissen,49,Ball Recovery,47.355000000000004,28.288000000000004,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,18,1,2,6,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,es363spp9pgd4hralx6ni2xw4,M. Chávez,7,Tackle,5.04,62.288000000000004,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,20,1,2,40,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,12,Clearance,8.82,31.688000000000002,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,28,1,2,44,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,cs49ec8y6cubrlo5nmu3j3jtg,L. Schouten,44,Aerial Duel,96.60000000000001,35.904,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,21,1,2,44,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,e8ppjprlbi0yiofmb7mj72wwk,R. Robbemond,44,Aerial Duel,8.4,32.096000000000004,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,24,1,3,12,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,59ynmlwky3h6m9g2r7a8igi96,T. Parrott,50,Dispossessed,53.655,31.824,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,31,1,3,12,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,49xsd6e4oyjrhtwsdbdm4rj84,L. Hartjes,7,Tackle,51.345,36.176,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,33,1,3,17,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,3hu6e9wa0nt4ekubxye6l4pas,I. Yegoian,49,Ball Recovery,44.415,25.364,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,39,1,3,49,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,c6i4usq34m3389rtbqptahrai,R. Meissen,49,Ball Recovery,23.625,60.248,False,,,,,,,,,
2026-02-14_SBV Excelsior - Alkmaar Zaanstreek,30,1,3,54,3kfktv64h7kg7zryax1wktr5r,Alkmaar Zaanstreek,czlf1kiqdfepc61hwfutoydqs,Weslley Patati,49,Ball Recovery,69.615,4.556,False,,,,,,,,,
