match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,type_id,action_type,x,y,linked,link_type,disruption_score,linked_pass_event_id,linked_pass_team,linked_pass_player,linked_pass_start_x,linked_pass_start_y,linked_pass_end_x,linked_pass_end_y
2026-04-11_FC Groningen - Go Ahead Eagles,4,1,0,6,cos9hxi16eitbcbthof7zrm4m,FC Groningen,98qi4clazqen9kimkxt3jb6j9,M. Peersman,12,Clearance,31.080000000000002,60.18000000000001,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,7,1,0,42,cos9hxi16eitbcbthof7zrm4m,FC Groningen,3aly8eihwfvtwde7dg0k18w7o,J. Schreuders,49,Ball Recovery,68.25,48.89200000000001,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,12,1,1,27,cos9hxi16eitbcbthof7zrm4m,FC Groningen,1c4fzmrwmlwaqmqomge14rqc4,D. Janse,44,Aerial Duel,36.96000000000001,52.156000000000006,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,17,1,1,27,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,3g0xd9rds9relghxanr1f5vc9,S. Sigurðarson,44,Aerial Duel,68.04,15.844000000000001,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,14,1,1,28,cos9hxi16eitbcbthof7zrm4m,FC Groningen,ei9h1loyggj8fnf1q4jfdm710,T. van Bergen,44,Aerial Duel,47.88,38.21600000000001,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,81,1,1,28,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,61a5bh5xw947nv4mxx62gqaqx,J. Kramer,44,Aerial Duel,57.12,29.784,True,intercepted,0.5904109939336974,15,FC Groningen,T. van Bergen,47.88,38.21600000000001,54.18000000000001,31.008000000000003
2026-04-11_FC Groningen - Go Ahead Eagles,20,1,1,50,cos9hxi16eitbcbthof7zrm4m,FC Groningen,4dk7h575fifmw2lhslevhmhux,M. Rente,12,Clearance,20.685,8.024000000000001,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,28,1,2,45,cos9hxi16eitbcbthof7zrm4m,FC Groningen,98qi4clazqen9kimkxt3jb6j9,M. Peersman,49,Ball Recovery,63.42,56.984,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,41,1,3,8,b79uipsy57y1jqpy07h4i5ovk,Go Ahead Eagles,lp9kyx4408kpoey40zv9mga1,J. De Busser,49,Ball Recovery,18.794999999999998,37.400000000000006,False,,,,,,,,,
2026-04-11_FC Groningen - Go Ahead Eagles,436,1,3,21,cos9hxi16eitbcbthof7zrm4m,FC Groningen,9wwud2tglhtdocmjgl2u5ib6c,T. Blokzijl,44,Aerial Duel,49.35,28.356000000000005,True,intercepted,0.29037403921193206,44,Go Ahead Eagles,J. De Busser,8.085,47.804,55.650000000000006,39.644
