match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,end_x,end_y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2025-09-20_NAC Breda - Heracles Almelo,2848933711,1,9,24,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,5.460000000000001,41.412,3.2550000000000003,32.912,3,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848944873,1,20,24,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,3.3600000000000003,33.932,10.185,43.656000000000006,3,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848950281,1,25,52,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,5.3549999999999995,41.480000000000004,2.94,34.068000000000005,1,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848952539,1,28,21,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,4.9350000000000005,33.932,70.56,44.47200000000001,0,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848957815,1,33,38,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,3.8850000000000002,31.824,11.865000000000002,36.924,1,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848966951,1,42,44,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,4.9350000000000005,26.044,68.25,43.656000000000006,2,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848970949,1,46,36,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,ajs5py826pvol60tokraxrpey,D. Bielica,4.83,28.628000000000004,14.595,23.732,4,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2848988621,2,52,39,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,3.7800000000000002,30.056000000000004,74.025,8.772,0,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2849002151,2,71,47,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,ajs5py826pvol60tokraxrpey,D. Bielica,2.8350000000000004,34.952,11.97,45.696000000000005,2,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2849002401,2,72,7,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,4.2,35.088,2.8350000000000004,41.684000000000005,2,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2849008319,2,81,48,dac758ef858jbq7pcb3gfwite,Heracles Almelo,c1krps0yssh477m8umrruiqjt,F. de Keijzer,5.3549999999999995,30.056000000000004,66.99,26.588000000000005,2,turnover,False,
2025-09-20_NAC Breda - Heracles Almelo,2849014075,2,88,38,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,ajs5py826pvol60tokraxrpey,D. Bielica,5.460000000000001,34.068000000000005,58.48500000000001,68.0,0,turnover,False,
