match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,end_x,end_y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882787683,1,15,43,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,4.515,35.972,63.73500000000001,53.448,0,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882797575,1,23,57,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,4.305,34.34,13.65,5.78,1,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882807477,1,32,58,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,4.305,34.68,8.715000000000002,42.976000000000006,5,action_limit,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882821053,1,39,15,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,4.41,35.904,61.74,54.876000000000005,1,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882824241,1,40,26,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,913pg8qqcjp99h5fjybbenob9,P. Sandler,5.670000000000001,41.548,5.775,30.26,5,action_limit,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882875821,2,49,24,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,4.9350000000000005,33.524,4.83,46.92,3,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882917211,2,78,51,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,5.1450000000000005,31.008000000000003,64.365,20.468000000000004,0,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882918045,2,79,34,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,4bkb8qjb5n33wxfopju8r1mtx,D. Bakker,5.565,40.664,4.515,32.912,3,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882921207,2,82,12,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,5.460000000000001,34.476000000000006,28.35,8.16,0,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882921831,2,82,44,zjawy6qdzk3y69v5pa3zl2cb,SC Telstar,8l31bne12p5cp51o46h92zjrp,R. Koeman,5.1450000000000005,34.748000000000005,4.9350000000000005,44.47200000000001,2,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882925257,2,86,2,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,3.6750000000000003,39.168000000000006,66.57000000000001,36.992000000000004,0,turnover,False,
2025-12-13_SC Telstar - Nijmegen Eendracht Combinatie,2882932477,2,92,21,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,3.57,30.804000000000002,55.545,63.03600000000001,2,turnover,False,
