match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890727623,1,0,55,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.670000000000001,41.82,1,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890733033,1,6,50,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.1450000000000005,34.816,2,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890741389,1,18,46,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.565,41.412,2,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890743311,1,21,16,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.460000000000001,34.884,4,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890745217,1,23,56,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.565,33.932,5,action_limit,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890747023,1,26,35,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,11ceernyer8po8soj8dmygatx,T. Wellenreuther,3.7800000000000002,32.844,1,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890747911,1,28,1,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,4.83,40.188,1,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890752281,1,34,57,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.3549999999999995,42.024,3,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890752929,1,36,0,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,11ceernyer8po8soj8dmygatx,T. Wellenreuther,4.095,33.864,2,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890777009,2,49,58,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.25,41.412,3,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890778027,2,51,24,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.25,42.84,0,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890779481,2,53,8,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,11ceernyer8po8soj8dmygatx,T. Wellenreuther,4.515,34.884,1,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890782459,2,57,7,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,447abno2j0ux8fsxzs6fel7th,A. Ahmedhodžić,4.515,35.904,5,action_limit,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890794171,2,73,4,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,byirjks50zw1eefkcy8p4hd5h,B. Martins Indi,5.3549999999999995,41.61600000000001,2,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890796879,2,76,51,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.670000000000001,34.204,1,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890799037,2,80,2,89w5c6pw7vn0dxypi61tt0g4k,Sparta Rotterdam,d5v47kueisvcjjz4f69m83sut,J. Drommel,5.1450000000000005,36.856,0,turnover,False,
2026-01-18_Feyenoord Rotterdam - Sparta Rotterdam,2890805625,2,89,34,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,11ceernyer8po8soj8dmygatx,T. Wellenreuther,4.620000000000001,34.612,5,action_limit,False,
