match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,end_x,end_y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2026-02-14_AFC Ajax - Fortuna Sittard,2900318061,1,10,52,d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,47l204bkq2qqjhtazusr0019m,Y. Baas,5.460000000000001,42.568000000000005,3.57,33.32,5,action_limit,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900319385,1,12,30,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,2fbolmn7pyvn5oto4zoeqguwa,N. Kasanwirjo,4.7250000000000005,40.052,4.305,31.076000000000004,2,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900327639,1,22,2,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.305,29.988000000000003,13.545000000000002,7.616,2,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900331011,1,26,10,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.7250000000000005,31.62,63.315,27.608000000000004,0,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900333547,1,29,47,d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,47l204bkq2qqjhtazusr0019m,Y. Baas,5.3549999999999995,42.024,3.7800000000000002,33.932,2,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900343695,1,42,23,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,3.9899999999999998,39.984,10.395000000000001,47.940000000000005,5,action_limit,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900363807,2,52,30,d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,47l204bkq2qqjhtazusr0019m,Y. Baas,4.83,40.528000000000006,3.7800000000000002,32.912,3,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900367037,2,56,17,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.41,32.096000000000004,62.580000000000005,14.280000000000001,1,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900368595,2,58,19,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,3.8850000000000002,31.076000000000004,61.214999999999996,6.800000000000001,2,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900384305,2,80,12,d0zdg647gvgc95xdtk1vpbkys,AFC Ajax,2wesmq2wuhnuwh2yhgkuaxqfo,A. Bouwman,3.2550000000000003,41.344,3.3600000000000003,32.776,1,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900391593,2,90,23,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.7250000000000005,37.128,60.795,39.984,1,turnover,False,
2026-02-14_AFC Ajax - Fortuna Sittard,2900392671,2,91,53,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.095,38.012,62.475,38.148,1,turnover,False,
