match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2026-02-20_Fortuna Sittard - SBV Excelsior,2902120771,1,14,6,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,5.25,28.356000000000005,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902124525,1,17,2,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.565,40.392,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902127147,1,19,0,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.620000000000001,28.968000000000004,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902129049,1,20,29,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,5.25,28.220000000000002,1,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902137533,1,27,56,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.095,26.452,1,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902180545,2,46,18,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,3.7800000000000002,36.856,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902204053,2,61,0,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.83,29.444,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902217613,2,70,32,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,5.04,26.384,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902221953,2,74,17,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.04,39.916000000000004,0,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902224051,2,75,58,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,3.1500000000000004,29.784,1,turnover,False,
2026-02-20_Fortuna Sittard - SBV Excelsior,2902241085,2,88,53,3ebril33e08ddzob4bhq8awsr,Fortuna Sittard,axhjtqfa2xxud2tdle8zfxrkl,L. Koopmans,4.7250000000000005,28.764,1,turnover,False,
