match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_end_reason,reached_shot_within_5,n_actions_to_shot
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919391085,1,0,23,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,8624hqd4nlbzcoqsetvsvla8k,D. Fonville,4.620000000000001,42.228,4,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919391813,1,1,37,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.2,29.988000000000003,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919397159,1,8,52,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,4.7250000000000005,29.784,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919398931,1,11,1,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.25,30.804000000000002,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919433427,2,46,27,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.9350000000000005,29.580000000000002,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919434851,2,49,30,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.305,34.136,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919435365,2,50,39,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.41,33.388000000000005,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919441701,2,61,36,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.1450000000000005,31.144000000000002,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919443003,2,63,51,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,5.3549999999999995,29.648000000000003,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919443547,2,64,50,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.04,31.416000000000004,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919448321,2,73,24,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,4.9350000000000005,30.94,0,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919451325,2,78,6,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.7250000000000005,33.252,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919452903,2,80,35,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,4.305,31.144000000000002,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919455537,2,84,39,8iawijq7s9s6d85mjz8wdslki,Nijmegen Eendracht Combinatie,2by23cpjtr9tsw1m4ak1w73oq,G. Crettaz,5.1450000000000005,28.424,1,turnover,False,
2026-04-04_SBV Excelsior - Nijmegen Eendracht Combinatie,2919460665,2,92,8,dqk062lu0vm8epvytbm6r4mmf,SBV Excelsior,am19rcub89k9bleldiqps7845,S. van Gassel,5.1450000000000005,34.136,2,turnover,False,
