match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_duration_sec,chain_end_reason,chain_reached_shot,transition_threat
2025-10-18_NAC Breda - PEC Zwolle,2860787003,1,13,6,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1rd0zzpp3dn0y7qtxwc57g7h1,R. Thomas,41.685,44.88,5,8.0,window_expired,False,0.0004309249501985
2025-10-18_NAC Breda - PEC Zwolle,2860788955,1,14,46,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1rd0zzpp3dn0y7qtxwc57g7h1,R. Thomas,74.55,6.324000000000001,2,1.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860788995,1,14,48,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,3c2wqlde0kovi9hii52egaimt,L. Holtby,34.86000000000001,54.74,1,3.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860793953,1,19,15,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,cstlool8c2aoty5vhx77t4q38,J. Faberski,23.31,6.732000000000001,4,3.0,turnover,False,0.0006897012206814
2025-10-18_NAC Breda - PEC Zwolle,2860794903,1,20,5,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,37c696bwovmn1x8lc8z4wp53o,C. Valerius,29.61,9.452000000000002,0,0.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860803295,1,28,45,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,36.015,17.068,1,1.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860807953,1,33,14,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,9ugpnnovqttl8lguv7wdyiezu,S. Graves,62.475,18.496000000000002,2,1.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860831179,2,47,7,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,3c2wqlde0kovi9hii52egaimt,L. Holtby,43.68000000000001,15.844000000000001,3,7.0,turnover,False,0.0014031115432324
2025-10-18_NAC Breda - PEC Zwolle,2860839583,2,57,25,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,44.625,8.772,2,2.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860846893,2,65,27,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,18.480000000000004,45.56,2,3.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860847569,2,66,12,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,5mqog8k9eyi248jvrrp9fo8wk,N. Fichtinger,60.06,19.448000000000004,4,7.0,turnover,False,0.0
2025-10-18_NAC Breda - PEC Zwolle,2860864933,2,85,6,59t7flioj4w4mpwnrwbm0m8ck,NAC Breda,969cpy2geokwer9gjapk7zj3e,R. Hillen,59.955000000000005,59.43200000000001,3,9.0,window_expired,False,0.0046846374967392
