match_file,event_id,period_id,time_min,time_sec,contestant_id,team_name,player_id,player_name,x,y,chain_n_actions,chain_duration_sec,chain_end_reason,chain_reached_shot,transition_threat
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880649747,1,1,2,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1rd0zzpp3dn0y7qtxwc57g7h1,R. Thomas,42.73500000000001,35.632000000000005,7,8.0,window_expired,False,6.635461821852262e-05
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880654959,1,8,7,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,9d4ald4f0m2imaastzen4j8mi,O. Targhalline,61.005,24.548000000000002,1,3.0,turnover,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880659931,1,14,14,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,dtcvzfse83ztj96kiizwp6jqi,G. Smal,60.900000000000006,61.81200000000001,3,8.0,window_expired,False,0.00017542172023190893
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880666985,1,24,24,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,e5xuwwa4qs6zxjd7y52tslih,Q. Timber,32.445,34.748000000000005,1,3.0,window_expired,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880667787,1,25,36,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,d5g7rl9a83vu3cyyzvu5yveqy,A. MacNulty,35.49,18.836000000000002,2,1.0,turnover,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880672487,1,33,27,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,6u7z5qrlwzl9aug8awejq37xl,Jamiro Monteiro,21.840000000000003,45.288,3,6.0,turnover,False,3.2030450278844325e-05
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880679819,1,44,50,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,9d4ald4f0m2imaastzen4j8mi,O. Targhalline,26.46,45.764,3,2.0,turnover,False,3.663982117269038e-05
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880680409,1,45,49,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,684nd3xjli51z43pbla0mwa21,T. Oosting,35.28,14.892,2,2.0,turnover,False,0.000191452652708
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880691291,2,47,15,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,cdir3jevzi4o8edgtfwu6jfca,Gonçalo Borges,67.41000000000001,47.328,0,0.0,turnover,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880693193,2,49,51,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,1rd0zzpp3dn0y7qtxwc57g7h1,R. Thomas,29.925,54.53600000000001,3,5.0,turnover,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880706285,2,70,35,20vymiy7bo8wkyxai3ew494fz,Feyenoord Rotterdam,e5xuwwa4qs6zxjd7y52tslih,Q. Timber,74.025,45.967999999999996,0,0.0,turnover,False,0.0
2025-12-06_Feyenoord Rotterdam - PEC Zwolle,2880717999,2,91,36,2uuh2bir8ktof0uxfo06lb4ox,PEC Zwolle,d29ahwtvs7ls75wdtkf7xr8tm,Z. Buurmeester,47.775,37.468,1,1.0,turnover,False,0.0
